username,game_count,elo
AaliSyed,2253,1665.0
51fun,1298,626.0
1southern2,1259,1310.0
abdo_001,1231,1519.0
21_Ashish,1117,1187.0
1Corinthians13,1062,1264.0
7assoon131,1016,1391.0
09Gladiator09,1010,1020.0
abader91,827,1262.0
abdallahshoukry,636,1775.0
1UnknownP,635,572.0
77jose77,615,1111.0
abdellhamid,587,1523.0
01KURA_50DACH1,533,1183.0
Abd-alhamedyousef11,530,1303.0
Aayush_mohan,527,1358.0
Aadarshchaudhary01,514,1381.0
AAAMASTER123,504,1542.0
15_tactical_15,502,1773.0
abbe77,496,717.0
1Ilikechess1,479,1484.0
42757,474,1242.0
1976BRASILrecife,471,1429.0
abdillahjunaidi,459,1592.0
aadi155,455,863.0
2980,435,1922.0
AbdoBaz,427,1159.0
84miro,421,1600.0
abdallaayash,421,1371.0
ABDELHEDI_A,416,1644.0
3emad,397,1168.0
2good4u734,392,2220.0
5432132,390,1055.0
000sergei2,384,1506.0
abderrazek19,383,1969.0
8amleo,373,857.0
17Astros,357,1131.0
123456789000000,353,1702.0
4thehellofit,349,1092.0
4TLAS,337,1826.0
aahana,328,1367.0
18860102,327,1461.0
2525pc,324,1735.0
1WannabeGM,319,836.0
210892,309,891.0
589amf,290,1348.0
abdessattar2014,285,1438.0
Aadit_Ag,285,894.0
abbastemi,278,1416.0
4chess8mate,275,1487.0
22Yossarian22,271,1702.0
88YH,263,752.0
1cowboys,259,669.0
0freakonaleash,256,745.0
10nq1a0325,249,828.0
1-Leon,248,765.0
A-rnum-A,243,1404.0
8889802431,242,1845.0
13litvin13,237,872.0
AaravDps,237,1034.0
A1iM_1988,234,1144.0
9maxii,234,1256.0
aagneyageshshesh,231,954.0
123cro,229,1490.0
2mateme,228,1715.0
1to037,228,1500.0
0419202,226,1490.0
aa1001zz,224,1089.0
0Mchess,223,835.0
2kRated,220,1985.0
a14a14d,219,1033.0
463316,217,1237.0
200iqcat,216,1336.0
01061393288,216,1450.0
Abdallah96Adel,216,1293.0
aaljayr11,214,2068.0
0scorpion0,212,1210.0
Abdodi,210,2322.0
20hp1,210,1075.0
abc_420,209,1695.0
44mc44,208,1805.0
17naird1,208,1628.0
1ArM-ArMeNiA1,205,1781.0
Abatichs,203,1288.0
aajayaa,200,905.0
AAPD11,200,1712.0
4nt0r2g,198,1111.0
0551171135,193,1051.0
abdo1612,191,1539.0
215IQ,190,759.0
aadipatel5,190,662.0
2202kerg,186,1579.0
7k7k7k,184,712.0
4ldy27,183,1538.0
18Kent,182,1139.0
7st,177,1162.0
abderahmanebencheikh,176,208.0
190l,176,2145.0
13akandeel,176,1266.0
90000226,175,1267.0
Abat41,171,1486.0
3dOJoda,170,946.0
1000ChessJake,169,1133.0
aashutosh99,169,815.0
68Roch,163,1602.0
9922212,159,1093.0
Aashik20,158,939.0
3rdmove,158,802.0
25shaw5,158,979.0
abdelhamed,154,1460.0
1952topps,154,1660.0
786Ace,151,1468.0
19MBatt95,149,1000.0
0mansa9,147,1307.0
Abbasmaster88,147,1622.0
3o16oo,146,1574.0
AbdoBrek,145,770.0
Abattoir_Aang,144,1084.0
1jesus-rocks,143,810.0
1King_of_chess,143,1869.0
a1act,142,1083.0
10803,140,999.0
9466,137,1770.0
Aashikamor,137,1094.0
3141516,136,2086.0
2ASHRAFKAMAL,136,1479.0
abderaak,135,1300.0
31937770,134,1021.0
a2c4,133,1097.0
5000IQ77,133,1242.0
11brose,132,1259.0
Abbasmajith,132,576.0
abdulhatta,130,838.0
32rtutu,127,1477.0
1rajesh12,126,1276.0
aalvaradov,122,1106.0
AashishKhot,121,1564.0
1MNI1,119,510.0
aaronsim,117,938.0
1Copenhagen,117,1606.0
aaravdudechess,117,580.0
613vintage,117,1070.0
aakashmehta998,117,1390.0
6cape,115,1020.0
420nico,115,1020.0
-basu-,114,1458.0
0pensh1ft,114,948.0
abcd3210,112,1413.0
9991andrew,112,457.0
06frestu,110,1241.0
aaronperez062899,109,1322.0
3obhan,107,970.0
21000,107,1714.0
aaronatx,106,1051.0
1885liam,105,1737.0
11kyrie,101,1492.0
2Ke21-0,100,2177.0
123ret,100,1337.0
AaroNh5,99,1731.0
abdelghan,99,1254.0
abdelghafour85,99,1395.0
aang1,98,951.0
0marelsayed,98,1190.0
420CHUNGUS,98,738.0
3_k14,98,1835.0
201215,97,890.0
18600050NND,97,834.0
6bit,97,1490.0
9thknight,96,1633.0
2004Jacobx1,95,1838.0
7Nemo,95,1182.0
19HectorFabioLopez59,94,1330.0
abdalla_sweisa,93,1184.0
2019Capsules,92,724.0
8ehrooz,91,901.0
11Muhammad11,90,1051.0
1709lmd2008,89,1477.0
1003106,88,1631.0
abbevv,87,607.0
021artinradfar021,87,1403.0
a4b4c4d4e4f4g4h4,83,1551.0
4ever11,83,1837.0
13luntman,82,706.0
1HarshDoshi5,81,1029.0
3lMata,81,895.0
Aaronguedes,81,1570.0
Abdullah-Al-Hasan,81,1195.0
abdulkadirbakari,80,1349.0
100Gran,79,965.0
7twiwomenladyeve2,79,984.0
0ratednogst,78,1669.0
8nevermore8,78,1680.0
69chuy1,77,1542.0
20010910,77,1023.0
aaronane,77,1179.0
-Amos-,77,1565.0
745H1N,75,860.0
A2mi4ne,75,807.0
10011011001101,74,883.0
6074chess,74,1085.0
abdrelfreemalik,74,961.0
AbdelrahmanEl-said95,73,1055.0
abdel_abdo,72,918.0
6199,72,1153.0
1plus1equals3duh,71,804.0
Abdullah696,71,499.0
aarnavjain,71,1752.0
123janusz,70,1663.0
14hoopsfanatic,70,1379.0
7Sniper7,70,1017.0
Aaravpen,70,480.0
2HoneyBadgers,69,1940.0
abderazakjlajla,69,1066.0
Abderrahmenjawedi,69,1223.0
ABakerMurray,69,659.0
27k,69,620.0
3rnestScribbler,68,542.0
135792468a,67,1893.0
84tigergretz,67,505.0
18102004,66,1797.0
1969CHESSMAN,66,1052.0
25elevinTwitch,66,2135.0
5uk0,66,1080.0
7modya,65,786.0
3THE4,64,782.0
40iqplayer,64,933.0
RandomPerson93,64,1191.0
3mriXx,64,1072.0
01Arsenii,64,992.0
0ok,64,982.0
095959,63,760.0
23Ioffside,63,1205.0
Aaryanrao2010,62,1263.0
4ott,62,761.0
1Momento_mori,61,890.0
4iamboard,61,1123.0
6CGaming,59,1110.0
123ttt,59,2301.0
7580952298,59,2012.0
7iz7,58,1170.0
13e55i,58,915.0
Luxeminuslan,57,503.0
3Angels,57,1712.0
1964Buick,57,1588.0
Abbbbbk,57,1361.0
25santiago29,56,1313.0
aadil_c,56,1668.0
AbdulazeezHamdan,55,1389.0
1Azi1MyT1,55,468.0
13john13,55,1249.0
013abhay,55,533.0
abdulla15171715,54,1340.0
abdolsamad111,54,1149.0
AbdoOscar,54,920.0
aaryan0277,54,1348.0
aayushtyagi179,54,1420.0
1098818290,54,820.0
335394862,54,2438.0
10thButter,53,1525.0
abdoelbnby,53,1342.0
Aaronyalun,53,1286.0
30ahul303,53,1251.0
AaqKhim,53,1239.0
024yobgib,52,813.0
10dcplays,52,1157.0
aajum,52,1383.0
71mani,52,1415.0
00Arch_Bishop00,51,1288.0
aadarshagtmchess,51,1247.0
18lamts2,51,1281.0
abcente_fly,51,1514.0
29ydevireddy,51,777.0
abdmahamdeh,51,1600.0
8226503,51,926.0
4Kings23,51,735.0
48794986230,51,492.0
6294,51,1053.0
AbdelhamidAshraf,50,1449.0
