username,mean_rating,std_dev_rating,min_rating,max_rating,game_count
063401905,2179.090909090909,11.562478501208446,2163,2198,11
0ptimist,2317.0,,2317,2317,1
123dragan123,2481.6875,25.265836617852262,2434,2517,16
123goodknight,2323.4,4.159326868617099,2319,2329,5
123oblivion1231,2206.3,10.252912865240875,2190,2223,10
123ttt,2325.0263157894738,42.98616172180607,2229,2383,38
190l,2199.3333333333335,20.47035566356667,2163,2233,48
1c4_1-0,2300.6363636363635,26.31833097775294,2265,2342,11
2008king,2374.0,,2374,2374,1
25elevinTwitch,2191.9615384615386,19.645825549934244,2161,2225,26
2Ke21-0,2352.487804878049,26.711534915855307,2290,2394,41
2Ke2_TH30RYz,2182.8,15.706686474237685,2164,2204,5
2Pawnsup,2206.0,,2206,2206,1
2good4u734,2234.216,40.854301309456524,2166,2321,125
2plyperhour,2226.0,,2226,2226,1
3141516,2168.1666666666665,6.27428614797475,2160,2178,6
335394862,2439.051282051282,39.10845158217314,2366,2507,39
35Rai35,2181.0,,2181,2181,1
777_J_O_K_E_R_777,2243.0,8.48528137423857,2237,2249,2
8x8Sn00,2256.875,58.793676773709485,2163,2332,8
908divik,2166.0,,2166,2166,1
ABC5678,2160.0,,2160,2160,1
ACPLTracker,2217.0,,2217,2217,1
AGM_VladimirKim,2233.0,,2233,2233,1
A_cceleratoR,2302.5,4.949747468305833,2299,2306,2
AaronGT24,2279.0,,2279,2279,1
AayushPoojaa,2197.391304347826,18.411308605989515,2163,2228,23
Abbas_A,2171.0,5.656854249492381,2167,2175,2
Abdodi,2327.0185185185187,40.73093418587233,2259,2423,108
Adam_Kujawski,2291.5,5.5677643628300215,2284,2297,4
Adichess24,2176.5,7.7781745930520225,2171,2182,2
AgentBear007,2169.0,,2169,2169,1
Alahambra123,2214.5,19.433647796197878,2186,2229,4
Alekhya2007,2391.0,,2391,2391,1
AleksanderAlekhine94,2249.0,,2249,2249,1
Alex_MV,2160.0,,2160,2160,1
Alex_Rosario,2467.0,,2467,2467,1
AlexanderKing,2571.0,5.522680508593589,2565,2577,5
Alexking44,2224.5,4.949747468305833,2221,2228,2
Alexoleg5,2254.0,,2254,2254,1
Aliencowboy,2529.0,,2529,2529,1
Alireza22000,2201.0,,2201,2201,1
ArChEr95,2324.0,7.0710678118654755,2319,2329,2
Aramna,2209.0,,2209,2209,1
AriseSoldier,2286.0,6.164414002969026,2279,2294,4
ArthurDeJong,2180.0,,2180,2180,1
AryanAli1998,2371.0,,2371,2371,1
AsaHoffmann,2410.75,14.268263150549599,2396,2427,4
AxolotlJCmherrera,2181.5,5.066228051190222,2177,2188,4
AyyAnarchy,2233.0,,2233,2233,1
BGabor1224,2236.0,,2236,2236,1
BabyNepomniachtchi,2298.0,,2298,2298,1
BackRankTank,2341.5,6.363961030678928,2337,2346,2
Bacyanide,2379.0,,2379,2379,1
Bednixo,2191.0,1.4142135623730951,2190,2192,2
Bernie-GB,2177.0,18.193405398660254,2166,2198,3
Bezerker19,2792.0,17.0,2775,2809,3
Biculi,2217.0,,2217,2217,1
Bid0na,2168.0,,2168,2168,1
Bierblitz1a,2391.0,,2391,2391,1
Bikfoot,2190.0,5.656854249492381,2186,2194,2
