username,game_count,elo
maia1,40,1463.0
maia9,25,1683.0
Netsaurus,24,1404.0
dragan961,23,2341.0
lindenice,22,2358.0
MadderRose,22,2536.0
Leon_Blanco,22,2349.0
imdejong,21,2476.0
Odirovski,21,2529.0
Bntary007,21,2221.0
tolichach,20,2178.0
Davigator,20,2384.0
senn71,19,2357.0
vdinsk2012,19,2476.0
maia5,19,1522.0
only_blitz123,19,2098.0
Phutressniak,18,2460.0
kalantaryan,18,2393.0
Barbashinigor,18,2358.0
adask10,18,2640.0
realcyberbird,17,2393.0
Marmie,17,1467.0
robertoyepez,17,2258.0
grinpavl,16,2017.0
estaka1,16,2547.0
Masis68_am,16,2506.0
Mavi_Alpha,16,2599.0
ArfanKhaidar,16,2120.0
GGTOURS,15,2478.0
udayram271,15,950.0
naborjs,15,2369.0
amchamp2000,15,2002.0
Betonschach1,15,2348.0
qol33333,14,1541.0
LoiuseMichel,14,2430.0
mego63,14,1761.0
ameliawfm,14,2155.0
TONYSISA,14,975.0
Juanitochess,14,2428.0
pollovsky,14,2338.0
kidcanvas255,14,1542.0
manneredmonkey,14,2608.0
Riki1Riki1,13,2291.0
lagunov,13,2369.0
roquemaspoli,13,2314.0
besfighter,13,2327.0
tomo71hr,13,2410.0
KamranShirazi,13,2462.0
MassterofMayhem,13,2609.0
CoachFede,13,2389.0
Letapa_Lepako,13,2356.0
agsjgm,13,2325.0
baagadde,13,2048.0
Alex-31,13,2548.0
qaswara1977,13,2460.0
hossein_babaee,12,2656.0
Gro23,12,2211.0
Elias_dc,12,1584.0
Mrios,12,2485.0
manu363,12,1841.0
nix21,12,1990.0
gajardo,12,2444.0
Elmarmalade,12,2541.0
evandrorsilva,12,2112.0
yepun,12,2582.0
Mvlitovicius,12,2175.0
Zark8,12,1898.0
JelenaZ,12,2591.0
Quopana,12,2282.0
pyp0614,11,1504.0
Mginsburg,11,2561.0
Khatiboo-Fish,11,2531.0
Mar_12_Mar,11,2646.0
Aries65,11,1977.0
Ring-bearer,11,1533.0
bodoque50,11,2582.0
shekharfromcal,11,1488.0
Cerdifixer,11,2558.0
user-user-user-user,11,1508.0
woeh,11,1752.0
Bardyk01,11,2683.0
Bakayoyo,11,2693.0
cometomecometohere,11,1160.0
FflashkingF,11,1171.0
CAMPOE,11,2113.0
InebriatedPawn,11,1598.0
DampSalad,11,1033.0
Karishok24,11,1338.0
tunacem,11,2207.0
Chess-Network,11,2708.0
JLee2027,11,1933.0
NewNr1,11,2477.0
mircica,11,2635.0
Stanislaw123,11,2095.0
Baluk,11,2443.0
Mischuk_D,11,2693.0
semih200,11,1932.0
BlackberryRIM,11,1753.0
victor325,11,2314.0
maksim_brovko,11,1411.0
cbmedema,11,1717.0
sulaimanashrafi,11,2154.0
AlexGrahamHancock,10,1467.0
Chess_diviner,10,2664.0
akkochan,10,1530.0
CrimsonLight,10,2139.0
vales81,10,1742.0
Fenrisulfur,10,2492.0
drattitude,10,1973.0
volodja49,10,2490.0
pupilochess86,10,2623.0
GOMEZ2019,10,2402.0
Refector,10,1461.0
AceBonaventura,10,2550.0
dbestsmiles,10,2443.0
JustAIM,10,1801.0
mistrzo16,10,1909.0
Aum2008,10,1625.0
ultrahunter,10,2318.0
runner24,10,2476.0
MaxMalygyn,10,2140.0
steelydon,10,1831.0
chess_rehab,10,2352.0
MrBini,10,2308.0
LiebeDDR,10,1570.0
ssund,10,1303.0
Alex_U_rus,10,985.0
noaccess,10,2211.0
Girome,10,2393.0
Edu_1973,10,1168.0
D_Wade3,10,2202.0
Leunarm,10,2276.0
Arrowlimit,10,2488.0
Karlos_ulsk,10,2630.0
Matt11111111,10,1628.0
Bobbybunny,10,2290.0
toomanymanoevres,10,2923.0
hajeko,10,2502.0
LaBelleDame12355,10,1628.0
oldjeans,10,1588.0
IvanBronnikov,10,1350.0
Byf,10,2267.0
chessmaxusa,10,2508.0
maracayo,10,2337.0
HpRmDrNsT,10,2411.0
serhio_orlando,10,946.0
akkopower,10,960.0
rafafas,10,1363.0
alex100571,9,1321.0
jgeg,9,2615.0
Chevrin,9,2336.0
berval,9,2517.0
giftedblunder,9,1666.0
novik70,9,2523.0
meowmeowman,9,1412.0
buraksaglam,9,1521.0
chessboyz1234456789,9,1935.0
f7weakness,9,2227.0
Oncegood,9,2389.0
lfcmoraes,9,1507.0
mrogulji,9,1382.0
Classemence,9,2174.0
Sc_Oblivion,9,2509.0
MichaelPush,9,1632.0
FuddmerL,9,1407.0
Hanscastro2020,9,1963.0
akhairat,9,2296.0
Baxchiparizh,9,2398.0
chimpchicken,9,2178.0
msskalpov,9,1394.0
vladleo54,9,2000.0
wnbeser,9,1283.0
fredgra2,9,2234.0
Ercanbrkn,9,1529.0
PPPP2222,9,2116.0
K1r11,9,1702.0
Grandmasterbomo,9,2500.0
pa5104,9,1800.0
juniortay,9,2380.0
aadrianobento,9,1210.0
nigelbarrone,9,1302.0
HMD_LORNAS,9,1146.0
hamidebh001,9,2755.0
head_and_neck_surg,9,2078.0
marjani3900,9,2188.0
jamestsherwin,9,2230.0
jockee12,9,1315.0
PavloKhomenko,9,1570.0
superengine,9,1843.0
Jhonvergara1979,9,1825.0
DoReMi2021,9,1465.0
PchelkinVK,9,2562.0
hbsajk,9,1315.0
BestWhiteWineIsRed,9,2431.0
Perabuis,9,1306.6666666666667
amruthaananth-1967,9,843.0
NoneTooSmart,9,1843.0
GlenfFlavour,9,2169.0
FranklinAPalomo,9,2651.0
Black_Winter_Day,9,2469.0
NIHONTO_EUROPE,9,1798.0
jlam8,9,1539.0
arslan477,9,1873.0
Ramdon35000,9,2132.0
manerolocrazo,9,2490.0
Masterasasin,9,2562.0
Daniel_Bruno,9,1219.0
growsomedope,9,1453.0
chess_n00b,9,1028.0
aaryan_varshney,9,2605.0
kondor-ro,9,2560.0
yairlv,9,1973.0
matwej777,9,1943.0
C_Spaceman,9,1803.0
randypadilla,9,1804.0
tonysisa,9,1015.0
Earth_Is_Flat,9,2075.0
joevevans,9,780.0
juancho746,9,1822.0
zmei1965,9,1924.0
JimHacker,8,2606.0
danigp,8,1404.0
harshheaven,8,2310.0
Quetal20,8,1685.0
yoseph2013,8,2740.0
Adrenaline09,8,2173.0
Victorovich-67,8,2102.0
talk2uee,8,2261.0
MoreMate,8,1951.0
alexanderaraya,8,2129.0
